method,eps,alpha,k,trial,seed,wall_sec,frob_resid_noisy,mahal_resid_noisy,frob_err_true,mahal_err_true,rel_frob_err_true,fms
Oracle-AMDM,0.01,1.01,10,2,1308135,0.04331707954406738,0.01781889037950918,0.00036558628666608154,0.01686395880702133,0.00033730416504488316,0.04059737025290451,0.9992049453392113
AMDM,0.01,1.01,10,2,1308135,0.039199113845825195,0.017844871699297896,0.00036700731161422214,0.016910683156339368,0.00033928121459526705,0.04070985189086373,0.9991989629055456
ALS,0.01,1.01,10,3,1609155,0.03179001808166504,0.024790506681933677,0.0007144787072350305,0.025839540016190005,0.0007667233873714531,0.062192329107772865,0.9981644595341217
Oracle-AMDM,0.01,1.01,10,3,1609155,0.042489051818847656,0.25750495659696476,0.07995596534989352,0.25846089784903686,0.08067197365646955,0.6220809352815982,0.15068056928569384
AMDM,0.01,1.01,10,3,1609155,0.03881978988647461,0.024892332889709778,0.0007177581525510014,0.025227652791620293,0.0007296729270518557,0.06071959810623655,0.9982441339372994
ALS,0.01,1.01,10,4,2010175,0.03158283233642578,0.18464518874982708,0.0412088545567916,0.18386636871723364,0.040847926947465196,0.44259343594506395,0.7797616622870467
Oracle-AMDM,0.01,1.01,10,4,2010175,0.04192304611206055,0.1848103013363409,0.04127650105020765,0.18368668651854142,0.04077589248541995,0.44216091442276395,0.6869749790158637
AMDM,0.01,1.01,10,4,2010175,0.03852725028991699,0.023853291014998744,0.0006587562948091343,0.025817893231162813,0.0007565588138872244,0.06214747239402097,0.998159493373926
ALS,0.01,1.01,20,0,2011205,0.03130483627319336,0.01650083807475118,0.00032009539199303287,0.018143586276597592,0.00038309904520444736,0.04368018026852966,0.9990923729075248
Oracle-AMDM,0.01,1.01,20,0,2011205,0.04156184196472168,0.17972148452391612,0.03925498486076418,0.18219379565385674,0.040311142528227394,0.43862650507154893,0.5541644730045143
AMDM,0.01,1.01,20,0,2011205,0.039913177490234375,0.016522464208011,0.00031987730128542585,0.018070841554045345,0.00037963433656573915,0.04350504936848457,0.9990991614199343
ALS,0.01,1.01,20,1,2112235,0.03219318389892578,0.01384254889439029,0.0002247175260139127,0.014852394739703676,0.0002581915306110356,0.035751846721734176,0.999404678843962
Oracle-AMDM,0.01,1.01,20,1,2112235,0.04373908042907715,0.1860846136037546,0.0405068222090082,0.1855651063426596,0.04024978883323053,0.44668185535967186,0.5977375210453506
AMDM,0.01,1.01,20,1,2112235,0.03948497772216797,0.013844146241003457,0.00022426627619424956,0.014858070048845177,0.00025849204140929925,0.035765508005727864,0.9994030148998359
ALS,0.01,1.01,20,2,2313265,0.032285213470458984,0.18185344110627638,0.040245982585263344,0.18215599289905704,0.04034490288190644,0.4383632889847359,0.6974344666590703
Oracle-AMDM,0.01,1.01,20,2,2313265,0.0436558723449707,0.1817340234380421,0.04019944381311712,0.18227456509910786,0.040392372366423214,0.438648636168593,0.7659978192338966
AMDM,0.01,1.01,20,2,2313265,0.03972887992858887,0.014799449110565358,0.00025026220123573013,0.01631085828719044,0.00030686574697742216,0.03925251852075491,0.9993144964792029
ALS,0.01,1.01,20,3,2614295,0.03245425224304199,0.016966672493726402,0.00033780214791913793,0.01769353892204922,0.00036180152157679784,0.04259029963733427,0.9991608650276571
Oracle-AMDM,0.01,1.01,20,3,2614295,0.04173707962036133,0.016961878919397322,0.0003364547738873324,0.017512518169849407,0.0003539396441339917,0.04215456272168773,0.9991655269457498
AMDM,0.01,1.01,20,3,2614295,0.03951096534729004,0.016986354529747987,0.0003372667570701792,0.01765375239963654,0.00035968939328069686,0.04249452908976044,0.9991488824988657
ALS,0.01,1.01,20,4,3015325,0.031143903732299805,0.017588608424203435,0.00035871743231044275,0.014530142234393008,0.00024232835026058542,0.03497433026497466,0.9994351903447523
Oracle-AMDM,0.01,1.01,20,4,3015325,0.04226994514465332,0.18839217576430972,0.04119286418857303,0.18597097585742106,0.04023178509667903,0.4476356958118094,0.7931318109332581
AMDM,0.01,1.01,20,4,3015325,0.03959321975708008,0.017613388172373068,0.0003581033075133828,0.014296390087738956,0.0002343509229968571,0.03441168437718187,0.9994552516172213
ALS,0.01,1.01,50,0,3016385,0.03180694580078125,0.011129066477797923,0.0001472008811759658,0.009734944099057462,0.0001104184228926332,0.023432711966623648,0.9997554696468274
